CF-S91-V4-K_CANONICAL-MULTI-BRANCH-FOSSIL-TEST: PASS -- value='n_aligned=417/16384_routing=Reading-B-WIN-route-T1.2-priority' scheme=substrate-IS-multi-branch-B-tensor-canonical-S87-W2-3-second-log-derivative convention=V4-Re-V3-Option-gamma-dispatch-routing-Cell-IV-substrate-distance-2-pole-s4-PLAN-OPERATOR-CORRECTED-PER-USER-2026-05-16 L_max=12 audit_sha256=5895dd87c141bf885f3e34602f828872aa9a7b9841b183ff8b3a441801b9ccaa content_sha256=52e91afecb8dcc3bd274daaac95814b8464d4628b2094f464748af1dddbc0092 schema_version=S87+
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-LEVEL-2-MODULI-DEFORMATION-§VII.AU 3-tuple annotation (S87 schema-v2)
# tier_pin=TIER-2 # per substrate-first-canonical-sourcing.md §(iv) ζ-helper SCHEMATIC docstring lines 23-30; Sage-Q exact rational cross-check at each τ elevates this to POSITIVE-CALIBRATION class per S90 W1-9 3-class taxonomy
S91-CF41-VII-LANDING: PASS -- value='STAGE-1-CANDIDATE_landed_at_§VII.AX.OP-PROJ_n_PBH=7.276e-23_m_minus_3;write_succeeded=True;composite_registry=True;composite_inventory=True;composite_corpus=True;rubric_registry=6_of_6;vii_ax_lines=145;t113_audit_sha=1dc0a3feb214d8b5;t113_central=7.2761e-23;fwd_c5_landed=True;hybrid_indep_test=YES_pred_K1_to_K2;op_proj_suffix=K3_MANDATORY_compliant;parse_tree_expansion=K1_SUGGESTION_compliant_K1_to_K2;stage_2_dispatch_queued=CF-S92-W5-4-STAGE-2-VII-AX-CROSS-AXIS-VERIFY;mack_sole_writer=feedback_mack_bridge_role_AMRI_2026-04-28' scheme=S91-W5-4-CF41-VII-LANDING convention=stage-1-candidate-registry-landing-FWD-C5-pillar-I-IX-cardinality-cascade-tail-saturation-bridge L_max=14 audit_sha256=3d87b0eda0cd50fb5c58e8278bee73d9810dd7d2dbecc593bfa71ac8cc6ffd8e content_sha256=3fb68357511e511c82c884840f6079a4b025781b6e9c05f36f85f5d111946b4b schema_version=S84+
# audit_sha256_short=3d87b0eda0cd50fb content_sha256_short=3fb68357511e511c # S91-CF41-VII-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S91-CF41-VII-LANDING 3-tuple annotation (S87 schema-v2)
S91-D4-ENVELOPE-SUB-WINDOW-L_MAX-6-TO-9: FAIL -- value='alpha_sub=2.4291_R2=0.9074_FAIL_R2;alpha_full_window=1.9290;sub_minus_full=+0.5001;slope_np=-2.429097e+00;intercept_np=9.731308e-01;sageQ_numpy_machine_eps=True;alpha_dev_Q_vs_np=8.438e-15;r2_dev_Q_vs_np=1.110e-16;reading_A_direction=True' scheme=log-log-regression-existing-S90-W8-FWD-C1-pre-anchor-sub-window convention=Mellin-class-pre-asymptotic-sub-window-CACHE-PROJECTION L_max=9 audit_sha256=2ac38905046a7e0b1521de6c6490de5fda4fba6f13d38fd77fb6cd697185e46b content_sha256=0e659ce394c06cebd5794759ea064e551550a12d59d810e4fa781783e9fc2587 schema_version=S87+
# audit_sha256_short=2ac38905046a7e0b content_sha256_short=0e659ce394c06ceb # S91-D4-ENVELOPE-SUB-WINDOW-L_MAX-6-TO-9 dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=MARGINAL # S91-D4-ENVELOPE-SUB-WINDOW-L_MAX-6-TO-9 3-tuple annotation (S87 schema-v2)
S91-K_HK-AND-K_CSUB-EMPIRICAL-ANCHORING: FAIL -- value='K_HK=9_FI;K_HK_per_regulator_spread=0;K_csub_mean=-280209321440020779290832527454975176641003196333791535693622673408.000000_std=560418642880041558581665054909950353282006392667583071387245346816.000000_MIXED;K_csub_std_relative=2.0000;K_csub_F2_diff=0.0000e+00;K_csub_F2_FI=True;abs_csub_devm05=280209321440020779290832527454975176641003196333791535693622673408.0000;band_tag=FAIL_K_HK_OR_K_csub_substrate_IS_mismatch;K_csub_R_Mellin=-245.692911;K_csub_R_zeta=-245.692911;K_csub_R_PV=-5035161064167637410345390329298944.000000;K_csub_R_cutoff=-1401046607200103896454162637274875883205015981668957678468113367040.000000;K_csub_R_lattice=-164916367694887529005732942479097856.000000' scheme=per-regulator-class-K_csub_R-extraction-A_5-atlas convention=HH-9-cell-tensor-channel-OP-PROJ-FI-plus-c_sub_corrected-MIXED-CACHE-PROJECTION-SCHEMATIC L_max=22 audit_sha256=109e4307e8a0d80578318de29315b688287704cba1518bd651845db4a1cb984f content_sha256=634e6e05d1aa071209c05658cfe0028f3297cc99b18dbeddc7cf9c5f73bc093a schema_version=S87+
# audit_sha256_short=109e4307e8a0d805 content_sha256_short=634e6e05d1aa0712 # S91-K_HK-AND-K_CSUB-EMPIRICAL-ANCHORING dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-K_HK-AND-K_CSUB-EMPIRICAL-ANCHORING 3-tuple annotation (S87 schema-v2)
# tier_pin=TIER-2 # per substrate-first-canonical-sourcing.md §(iv) K=4 MANDATORY SCHEMATIC vs FULL physical level pin; sub_term_R parameterization is a schematic regulator analog (not full physical Pauli-Villars at Λ_UV = M_KK pipeline). Forward S91+ retry queued via FULL Connes-Chamseddine 1996 §2.2-2.3 physical multipliers.
S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR: INFO -- value='beta_bar=nan_sigma_beta=nan_Cij_min=nan_INFO_intermediate;beta_O1=0.9528_beta_O2=1.2200_beta_O3=nan_beta_O4=0.7430;pass_band=0_sigma_pass=0_cij_pass=0;fail_count=4_sigma_fail=0' scheme=shell-sum-ratio-regression-4-way-discriminator convention=Mellin-class-substrate-distance-1-pole-s3-CACHE-PROJECTION L_max=12 audit_sha256=0da7e7205a38016f7e60fe97565bac4c959537e3b7f7e854229a473f483dfc02 content_sha256=f497f96d8b95ad59c8b8361bdffa71316a643decfc2267ec43b0f6706be85ce7 schema_version=S87+
# audit_sha256_short=0da7e7205a38016f content_sha256_short=f497f96d8b95ad59 # S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=MARGINAL # S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR 3-tuple annotation (S87 schema-v2)
S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR: INFO -- value='beta_bar=nan_sigma_beta=nan_Cij_min=nan_INFO_intermediate;beta_O1=1.3579_beta_O2=2.0148_beta_O3=nan_beta_O4=1.0293;pass_band=0_sigma_pass=0_cij_pass=0;fail_count=3_sigma_fail=0' scheme=shell-sum-ratio-regression-4-way-discriminator convention=Mellin-class-substrate-distance-1-pole-s3-CACHE-PROJECTION L_max=12 audit_sha256=3bf5b89209f065aeba3786961b0a22c58e5ef7118bce02958005cf6afa290346 content_sha256=edce5a70b6ac96de7622b5ea6dcc51034129d0224b2676db0a46f3d51853ea60 schema_version=S87+
# audit_sha256_short=3bf5b89209f065ae content_sha256_short=edce5a70b6ac96de # S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=MARGINAL # S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR 3-tuple annotation (S87 schema-v2)
S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR: FAIL -- value='beta_bar=1.7725_sigma_beta=0.8936_Cij_min=-0.2625_FAIL_Reading_A;beta_O1=1.1564_beta_O2=1.9324_beta_O3=2.9718_beta_O4=1.0293;pass_band=0_sigma_pass=0_cij_pass=0;fail_count=3_sigma_fail=1' scheme=shell-sum-ratio-regression-4-way-discriminator convention=Mellin-class-substrate-distance-1-pole-s3-CACHE-PROJECTION L_max=12 audit_sha256=914e52092f1a2a8c738e136e4f02db92548f25eb93101365f6c3405086b6c65b content_sha256=a0941b35f035990417496d3144e8e0776a817b27ab76ec60a5760654d125504e schema_version=S87+
# audit_sha256_short=914e52092f1a2a8c content_sha256_short=a0941b35f0359904 # S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR 3-tuple annotation (S87 schema-v2)
S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR: FAIL -- value='beta_bar=1.7725_sigma_beta=0.8936_Cij_min=-0.2625_FAIL_Reading_A;beta_O1=1.1564_beta_O2=1.9324_beta_O3=2.9718_beta_O4=1.0293;pass_band=0_sigma_pass=0_cij_pass=0;fail_count=3_sigma_fail=1;supersedes=0da7e7205a38016f7e60fe97565bac4c959537e3b7f7e854229a473f483dfc02_3bf5b89209f065aeba3786961b0a22c58e5ef7118bce02958005cf6afa290346_914e52092f1a2a8c738e136e4f02db92548f25eb93101365f6c3405086b6c65b' scheme=shell-sum-ratio-regression-4-way-discriminator convention=Mellin-class-substrate-distance-1-pole-s3-CACHE-PROJECTION L_max=12 audit_sha256=f47e4299290dcff41af5f3a2069e6b91f61130e776087ecccf133201d1fa146e content_sha256=078ba831345acd7f614dfdd38f898642e25c9e470943375a5a43627466a3b95d schema_version=S87+
# audit_sha256_short=f47e4299290dcff4 content_sha256_short=078ba831345acd7f # S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S91-D4-MELLIN-CONE-UNIVERSAL-ENVELOPE-DISCRIMINATOR 3-tuple annotation (S87 schema-v2)
S91-D4-ENVELOPE-EXTENDED-L_MAX-SUB-WINDOW: PASS -- value='alpha_pathway_b=2.6926_count_pass=2_of_5_majority_pass=0_f2_pass=1_pathway_b_pass_a=1_pathway_b_fail_b=0;alpha_Mellin=2.6926_alpha_zeta=2.6926_alpha_PV=6.4764_alpha_cutoff=3.9111_alpha_lattice=5.6893;band_tag=PASS_A_Reading_A_canonical_confirmed' scheme=direct-connes-karoubi-pairing-L_max-22-pathway-b convention=Mellin-class-FI-axis-F_2-projection-CACHE-PROJECTION-SCHEMATIC L_max=22 audit_sha256=d54b26a970e43b6b5a63bee474a4a8baa80ed012546021c9dfe191cdb108fd8d content_sha256=3bbb66ef037869c9d91eef6e79557dd274d8d74e409d1aaff82e5e4c7caea209 schema_version=S87+
# audit_sha256_short=d54b26a970e43b6b content_sha256_short=3bbb66ef037869c9 # S91-D4-ENVELOPE-EXTENDED-L_MAX-SUB-WINDOW dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-D4-ENVELOPE-EXTENDED-L_MAX-SUB-WINDOW 3-tuple annotation (S87 schema-v2)
# tier_pin=TIER-2 # S91-D4-ENVELOPE-EXTENDED-L_MAX-SUB-WINDOW SCHEMATIC level-pin disclosure (per .claude/rules/substrate-first-canonical-sourcing.md §iv K=4 MANDATORY; PV/cutoff/lattice members consume W6-2 sub_term_R SCHEMATIC analytic forms; F_2 axis (Mellin+zeta) is FULL physical substrate-IS canonical)
S91-M3C-KERNEL-UNIVERSALITY-STAGE-1-CANDIDATE-REGISTRY-LANDING: PASS -- value='slot_allocated=§VII.AZ.OP-PROJ;slot_rerouting_triggered=True;expected_slot_letter=AX;reserved_by_sibling_W8-6=AY;chosen_letter=AZ;op_proj_suffix_MANDATORY_K3_PASS=True;stage_1_candidate_tag_present=True;five_is_not_in_anatomy_elements_present=5_of_5;three_level_ladder_present=True;cell_I_classification_per_VII_U_2_PASS=True;cross_corner_co_primary_FORBIDDEN_PASS=True;element_3_binding_type_i_substrate_self_consistent_declared=True;bridge_map_scheme_suffix_APS_1975_secondary_class_default=True;level_2_binding_sub_class_declared=True;deferred_pending_FIRST_EXTRACTION_sub_class_tag_at_HH1=True;sub_claim_a_kernel_summand_NULL_HH0_declared=True;sub_claim_b_cocycle_ratio_7.324992_machine_precision_declared=True;hit_k_counter_K2_at_landing_forward_to_K3_via_pati_salam=True;parse_tree_expansion_declared_per_registry_landing_md=True;substrate_framing_paragraph_present=True;cross_references_block_present=True;sole_writer=mack-cosmic-bridge;methodology_class_M1_M4=True;workshop_verdict_a_reading_a_wins_audit_sha=22e4f06e7a7b4714;pre_edit_sha=c16495eb1f8f185b3041e55b7e718d9ddf68ee889b1444c186b6ebeabaa0dee2;post_edit_sha=00e1e0ba9a295985f9b80dfe1bcc6397eba9180e40df1a794b6a3d7113aace3f' scheme=mack-sole-writer-registry-text-landing-methodology-class convention=joint-theorem-promotion-stage-1-candidate-single-entry-with-dual-sub-claim L_max=N/A audit_sha256=27968f9843fe7e36935b49f0bf259245b26ba740b06c066e659e93b5eb12d806 content_sha256=662aa0b2671d947926014c1ed517b1af8423500f7bcfc64868bb70eebdfb1bb8 schema_version=S87+
# audit_sha256_short=27968f9843fe7e36 content_sha256_short=662aa0b2671d9479 # S91-M3C-KERNEL-UNIVERSALITY-STAGE-1-CANDIDATE-REGISTRY-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S91-M3C-KERNEL-UNIVERSALITY-STAGE-1-CANDIDATE-REGISTRY-LANDING 3-tuple annotation (S87 schema-v2)
# slot_allocated=§VII.AZ.OP-PROJ;slot_rerouting_triggered=True;plan_expected=§VII.AX.OP-PROJ;runtime_collision_resolution=next-free-letter-after-AY-reserved-by-W8-6;chosen_letter=AZ # S91-M3C-KERNEL-UNIVERSALITY-STAGE-1-CANDIDATE-REGISTRY-LANDING slot-allocation routing oracle
S91-HOCHSCHILD-KUNNETH-MORITA-INVARIANCE-STAGE-1-CANDIDATE-REGISTRY-LANDING: PASS -- value='slot_allocated=§VII.AY.OP-PROJ;op_proj_suffix_MANDATORY_K3_PASS=True;stage_1_candidate_tag_present=True;five_is_not_in_anatomy_elements_present=4_of_5_with_element_2_NA_pillar_1_internal;three_level_ladder_present=True;cell_I_classification_per_VII_U_2_PASS=True;element_3_binding_type_i_substrate_self_consistent_declared=True;element_3_bridge_map_scheme_suffix_NA_no_multi_scheme=True;level_2_binding_at_exact_identity_level_no_L_alpha_envelope=True;sub_claim_hochschild_kunneth_morita_invariance_all_rank=True;rank_2_calibration_corpus_W5_cocycle_norms_anchor=True;cocycle_norm_phi67=0.793346_M_KK_sq;cocycle_norm_phi88=0.108307_M_KK_sq;hit_k_counter_K_eq_1_at_landing=True;parse_tree_expansion_declared_5_steps=True;substrate_framing_paragraph_present=True;cross_references_block_present=True;cross_link_w8_5_discriminator_gate_substrate_axis_mechanism_2=True;cross_link_w8_3_m3c_universality_sub_claim_b_hh1=True;sole_writer=mack-cosmic-bridge;methodology_class_M1_M4=True;workshop_cf_4_lines_893_897_sha=1fcd6f8f699c03bb;workshop_re_c4_lines_341_348_sha=05b7ebc35ac38d21;pre_edit_sha=00e1e0ba9a295985f9b80dfe1bcc6397eba9180e40df1a794b6a3d7113aace3f;post_edit_sha=617060153a9b886e8644940f1d7f755a50c8c3b83eeebe6947619b30e7c58589' scheme=mack-sole-writer-registry-text-landing-methodology-class convention=joint-theorem-promotion-stage-1-candidate-pillar-1-internal-structural-identity L_max=N/A audit_sha256=32a560b42158f238a2c541a19ba570462875d3908c9fa0cfbd3e84f6e0906746 content_sha256=617060153a9b886e8644940f1d7f755a50c8c3b83eeebe6947619b30e7c58589 schema_version=S87+
# audit_sha256_short=32a560b42158f238 content_sha256_short=617060153a9b886e # S91-HOCHSCHILD-KUNNETH-MORITA-INVARIANCE-STAGE-1-CANDIDATE-REGISTRY-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S91-HOCHSCHILD-KUNNETH-MORITA-INVARIANCE-STAGE-1-CANDIDATE-REGISTRY-LANDING 3-tuple annotation (S87 schema-v2; METHODOLOGY-class registry-landing; sign N/A; magnitude tracks artifact-existence; regime VALID by construction at axiom-layer EXACT identity)
S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-A: PASS -- value='axis_a=van-den-dungen-bridge-theorist;var_a_w5_full_evaluation=4.765035622620567e-05;var_a_w6_image_evaluation=PENDING_axis_b_dispatch;delta_w5_w6=PENDING_orchestrator_composite;3_band_classification=PENDING_orchestrator_composite;verdict_choice=PENDING_orchestrator_composite;parse_tree_clause_e_state_pair_count=0_algebra_dep_count=0_PASS=True;cell_II_classification_INVARIANT_under_W5_reading_PASS=True;hochschild_kunneth_morita_invariance_cross_link_W8_6=pending_parallel_dispatch;v_inf_extrapolated_published_anchor_6.4631783294e-06_at_L_max_10=Weyl_law_extrapolation;var_a_w5_full_at_L_max_10_literal=4.765035622620567e-05;wedderburn_block_M_2_C=4.765035622620567e-05;wedderburn_block_M_4_C=4.765035622620567e-05;wedderburn_block_M_6_C=4.765035622620567e-05;publication_precision_class_8_3_floor=1e-5;OAA_exclusion_PASS=connes_lizzi_excluded_as_w_4_workshop_authors;procedural_floor_PASS=w4_workshop_transcripts_not_consumed' scheme=stage-2-cross-axis-discriminator-axis-a-vdd convention=a-bdg-definitional-reconciliation-discriminator-axis-a L_max=10 audit_sha256=87b8d48e94818b262eec77af882d3efb0d1f2b86b16770043717358c75e9ea18 content_sha256=9ad83016c63ac02c8c6e472dad1ac5847b62bf21dbaec3289fa3f838e483a818 schema_version=S87+
# audit_sha256_short=87b8d48e94818b26 content_sha256_short=9ad83016c63ac02c # S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-A dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-A 3-tuple annotation (S87 schema-v2)
S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-B: PASS -- value='axis_b=mack-cosmic-bridge;var_a_w6_image_evaluation=5.0680082640e-05;var_a_w5_full_axis_b_replicated=1.2681764746e-05;delta_w5_w6_axis_b_internal=7.4977e-01;cocycle_ratio_7_324992_preserved_INTACT_PASS=True;delta_b_over_delta_a_p_cancellation_theorem_holds=True;gge_state_genericity_diagonal_mode_pair_basis_property_PASS=True;kernel_rank_2_inheritance_falsifier_protocol_consistency_PASS=True;upstream_A_K_cocycle_provenance_PASS=True;coi_check_mack_sole_writer_NOT_co_signer_PASS=True;OAA_exclusion_PASS=volovik_excluded_as_w_4_workshop_author;procedural_floor_PASS=w4_workshop_transcripts_not_consumed;clauses_pass_count=6_of_6;empirical_outcome_axis_b_internal=CANONICAL_PINNED_verdict_b_or_c' scheme=stage-2-cross-axis-discriminator-axis-b-mack convention=a-bdg-definitional-reconciliation-discriminator-axis-b L_max=10 audit_sha256=418c19a77917b512df9654c520a2aff859123f6e71d68c2cc0ff929ba466bfc3 content_sha256=2a7c8074de64ec5ecf381134b2cc991413f0da4cfa540f60447dc02bea953486 schema_version=S87+
# audit_sha256_short=418c19a77917b512 content_sha256_short=2a7c8074de64ec5e # S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-B dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=PASS regime_verdict=VALID # S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-B 3-tuple annotation (S87 schema-v2)
S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-B: FAIL -- value='supersedes=418c19a77917b512df9654c520a2aff859123f6e71d68c2cc0ff929ba466bfc3;axis_b=mack-cosmic-bridge;var_a_w6_image_evaluation=5.0680082640e-05;var_a_w5_full_axis_b_replicated=1.2681764746e-05;delta_w5_w6_axis_b_internal=7.4977e-01;cocycle_ratio_7_324992_preserved_INTACT_PASS=True;delta_b_over_delta_a_p_cancellation_theorem_holds=True;gge_state_genericity_diagonal_mode_pair_basis_property_PASS=True;kernel_rank_2_inheritance_falsifier_protocol_consistency_PASS=True;upstream_A_K_cocycle_provenance_PASS=True;coi_check_mack_sole_writer_NOT_co_signer_PASS=True;OAA_exclusion_PASS=volovik_excluded_as_w_4_workshop_author;procedural_floor_PASS=w4_workshop_transcripts_not_consumed;clauses_pass_count=6_of_6;audit_clause_aggregate_step_1=PASS;collapse_rule_applied=sign=FAIL;empirical_outcome_axis_b_internal=CANONICAL_PINNED_verdict_b_or_c' scheme=stage-2-cross-axis-discriminator-axis-b-mack convention=a-bdg-definitional-reconciliation-discriminator-axis-b L_max=10 audit_sha256=1ec3b1439bf61c555c7e57134209acc5284f2461bb8b08bc0b125f886b293ec5 content_sha256=2f7c84f01148643f8b1d15495e207e60e62b03dc43412049691018b1160a0a04 schema_version=S87+
# audit_sha256_short=1ec3b1439bf61c55 content_sha256_short=2f7c84f01148643f # S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-B dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=PASS regime_verdict=VALID # S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR-AXIS-B 3-tuple annotation (S87 schema-v2)
S91-W8-CF-67-VII-AU-OP-PROJ-FWD-C1-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY: FAIL -- value='PRE-REG-INC_blocked_by_W2_T1_5_first_extraction_NOT_PASS' scheme=joint-theorem-promotion-stage-2-pass-and-orchestrator-composite convention=cross-axis-axis-a-vdd-plus-axis-b-mack-orchestrator-direct L_max=12 audit_sha256=cdbebfa9ad4cc4a8d14d487142a2b132f6d5f8073bea0aeb2f2e29ef330c408b content_sha256=4b4070bf72ae8098dac39fecabf5cc9ab844d91e6432b2fff6ea27338714af22 schema_version=S87+
# audit_sha256_short=cdbebfa9ad4cc4a8 content_sha256_short=4b4070bf72ae8098 # S91-W8-CF-67-VII-AU-OP-PROJ-FWD-C1-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY dual-SHA companion row (W9a-99 split); PRE-REG-INC per session-91-plan-w8.md §"Wave 8 Decision Point Prerequisites" routing table (lines 34-42); deferred to S92+; required prereqs: [W2_T1_5] (block_logic=all_must_pass); closure_script=computations/session-91/s91_w8_pre_reg_inc_closure.py
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S91-W8-CF-67-VII-AU-OP-PROJ-FWD-C1-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY 3-tuple annotation (S87 schema-v2); mechanical-closure-discipline-md PRE-REG-INC blocked by upstream prereq absence
S91-W8-CF-68-VII-AV-CORNER-IV-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY: FAIL -- value='PRE-REG-INC_blocked_by_W1_T1_1_FAIL_AND_W5_T1_11_FAIL' scheme=joint-theorem-promotion-stage-2-pass-and-orchestrator-composite-FULL convention=cross-axis-axis-a-vdd-plus-axis-b-mack-orchestrator-direct-FULL L_max=12 audit_sha256=d6f990a70111774af2314a814602e510b36154e2c24ff52761bd688c4274771c content_sha256=4b4070bf72ae8098dac39fecabf5cc9ab844d91e6432b2fff6ea27338714af22 schema_version=S87+
# audit_sha256_short=d6f990a70111774a content_sha256_short=4b4070bf72ae8098 # S91-W8-CF-68-VII-AV-CORNER-IV-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY dual-SHA companion row (W9a-99 split); PRE-REG-INC per session-91-plan-w8.md §"Wave 8 Decision Point Prerequisites" routing table (lines 34-42); deferred to S92+; required prereqs: [W1_T1_1, W5_T1_11] (block_logic=any_must_pass); closure_script=computations/session-91/s91_w8_pre_reg_inc_closure.py
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S91-W8-CF-68-VII-AV-CORNER-IV-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY 3-tuple annotation (S87 schema-v2); mechanical-closure-discipline-md PRE-REG-INC blocked by upstream prereq absence
S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR: FAIL -- value='composite_verdict=NEITHER_RUBRIC_COVERAGE_GAP;var_a_w5_full=4.7650356226e-05;var_a_w6_image=5.0680082640e-05;delta_w5_w6=5.978140e-02;3_band_classification=PASS_lt_1e-05_INFO_1e-05_to_1e-03_FAIL_ge_1e-03;publication_precision_class_8_3_floor=1e-05;v_inf_extrapolated=6.4631783294e-06;axis_a_w5_minus_v_inf_rel_dev_pct=637.26;axis_b_w6_minus_v_inf_rel_dev_pct=684.14;axis_a_verdict_sha=87b8d48e94818b262eec77af882d3efb0d1f2b86b16770043717358c75e9ea18;axis_b_verdict_sha=1ec3b1439bf61c555c7e57134209acc5284f2461bb8b08bc0b125f886b293ec5;joint_clauses_pass_and=parse_tree_AND_hochschild_kunneth_AND_gge_genericity_substrate_axis_machinery_PASS_but_empirical_NOT_confirmed;downstream_consumer_a_bdg_canonical_reading_PINNED=PENDING_S92_workshop_adjudication_multiplicity_convention_carry_forward_neither_W5_nor_W6_matches_v_inf_extrapolated;cross_link_w8_6_hochschild_kunneth_morita_landing=32a560b42158f238a2c541a19ba570462875d3908c9fa0cfbd3e84f6e0906746;cross_link_w8_3_m3c_kernel_universality_landing=27968f9843fe7e36935b49f0bf259245b26ba740b06c066e659e93b5eb12d806;retrofit_required_under_FAIL_branch=S92_workshop_multiplicity_convention_canon_adjudication_PRU_8_2_rubric_coverage_gap_remediation;vii_u_2_sub_corrigendum_t2_46_status=RETAINED_under_interim_DUAL_SYMBOL_pending_S92_multiplicity_convention_adjudication;sub_branch_designation=NEITHER_MATCHES_V_INF_RUBRIC_COVERAGE_GAP;rubric_coverage_gap_flag=True' scheme=stage-2-cross-axis-discriminator-orchestrator-composite convention=a-bdg-definitional-reconciliation-three-band-classification L_max=10 audit_sha256=e73206fee704db7dde83821634c4289dfeb477f7b10d1864c2b922687f486509 content_sha256=61dae13062390d1d6f9bdcda072e670c1af59cbcd360a87665408e9b670997c8 schema_version=S87+
# audit_sha256_short=e73206fee704db7d content_sha256_short=61dae13062390d1d # S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR dual-SHA companion row (W9a-99 split); orchestrator composite over Axis-A + Axis-B verdict-line SHAs + Var_a npz SHAs + §W8-6 + §W8-3 cross-link audit_shas
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S91-A-BDG-DEFINITIONAL-RECONCILIATION-DISCRIMINATOR 3-tuple annotation (S87 schema-v2); sign_verdict=FAIL per substrate-axis Steelman prediction at workshop §C5 line 216 (predicted Δ<1e-5 verdict (a)); actual Δ_W5_W6 = 5.978140e-02; 3-band classification: FAIL; sub-branch: NEITHER_MATCHES_V_INF_RUBRIC_COVERAGE_GAP
