S88-CF-CURV-5-CASCADE-SCALING-DERIVATION: PASS -- value='LINEAR_g_max=384' scheme=substrate-spectral-primitive convention=atlas-B1-cardinality-2-locked L_max=10 audit_sha256=733d803f72dc2ba7309338e86a097018c521ba59efe794f5238430c1c38d7001 content_sha256=f1e64f2f1d668a41c377bbdf5ff00dd3b608c77abf99c4e1c174e8208396b579 schema_version=S87+
S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT: FAIL -- value='n_slots=7/annotated=0/ambig=0/missing=7/mismatch=6 | FAIL | corner-cell-undecidable; all_found=True, all_corner_unambiguous=False, mismatches_vs_predicted=6, ambiguous=0, missing_corner_de' scheme=corner-classification-parse-tree-decision convention=clause-e-decidable-finite-parse L_max=N/A audit_sha256=36e0bcbe296ec1abb60814621e13e1f4f5361974797c9e25672ec138f2a02263 content_sha256=2cb7eedd4ac6169faea939e30b83c827ffe6f41fe225d7c184e1d40b9f5e5e9d schema_version=S84+
# audit_sha256_short=36e0bcbe296ec1ab content_sha256_short=2cb7eedd4ac6169f # S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT dual-SHA companion row (W9a-99 split)
S88-CONNES-DISTANCE-A_F-FULL-COMPLEX-HERMITIAN: PASS -- value=1.054488310968e-01 scheme=Connes-distance-A_F-full-complex-Hermitian-SDP convention=cvxpy-Hermitian-True-14-real-DOF L_max=12 audit_sha256=79a16789c97a1d537caea66637962f97229bcd34ec86661a453ab79a160edcc5 content_sha256=0719095f131ece12a615716a92dcc3f7003815049af702240f24360e86d11eb8 schema_version=S84+
# audit_sha256_short=79a16789c97a1d53 content_sha256_short=0719095f131ece12 # S88-CONNES-DISTANCE-A_F-FULL-COMPLEX-HERMITIAN dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CONNES-DISTANCE-A_F-FULL-COMPLEX-HERMITIAN 3-tuple annotation (S87 schema-v2)
S88-CORNER-IV-SCHEMATIC-ENVELOPE-DERIVATION: FAIL -- value='0.056969' scheme=substrate-distance-2-Mellin-cone-second-moment convention=Bogoliubov-GGE-state-pair-higher-moment-canonical L_max=10 audit_sha256=89090d37b361059035576f9caff2a7f5de9939905cc58d904a4dac87e98da106 content_sha256=33d87022907d7d30b46b8d4daa4b57d0bd1730d441729ed608644d4b99701b9f schema_version=S87+
# audit_sha256_short=89090d37b3610590 content_sha256_short=33d87022907d7d30 # S88-CORNER-IV-SCHEMATIC-ENVELOPE-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=BREAKDOWN # S88-CORNER-IV-SCHEMATIC-ENVELOPE-DERIVATION 3-tuple annotation (S87 schema-v2)
S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT: FAIL -- value="n_slots=7/annotated=0/ambig=6/missing=1/mismatch=6 | FAIL | structural-ambiguity threshold breached (>2 AMBIGUOUS out of 7); plan §W5b-46 FAIL clause 'parse-tree decision procedure has str" scheme=corner-classification-parse-tree-decision convention=clause-e-decidable-finite-parse L_max=N/A audit_sha256=06c23c1ee14243f79a8e57080f386f529679b31e9f62c752a85c399950a37cac content_sha256=2e3f522e3999115292757b7a61698eba822d53f8838fe0882f7e0f8dc58797a5 schema_version=S84+
# audit_sha256_short=06c23c1ee14243f7 content_sha256_short=2e3f522e39991152 # S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT dual-SHA companion row (W9a-99 split)
S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT: FAIL -- value="n_slots=7/annotated=0/ambig=6/missing=1/mismatch=6 | FAIL | structural-ambiguity threshold breached (>2 AMBIGUOUS out of 7); plan §W5b-46 FAIL clause 'parse-tree decision procedure has str" scheme=corner-classification-parse-tree-decision convention=clause-e-decidable-finite-parse L_max=N/A audit_sha256=cf43701fe1e09ff861bb05a6181dd8f78e1813181c60b9362dff93c078dda78f content_sha256=2e3f522e3999115292757b7a61698eba822d53f8838fe0882f7e0f8dc58797a5 schema_version=S84+
# audit_sha256_short=cf43701fe1e09ff8 content_sha256_short=2e3f522e39991152 # S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT dual-SHA companion row (W9a-99 split)
S88-CORNER-IV-SCHEMATIC-ENVELOPE-DERIVATION: INFO -- value='3.561614' scheme=substrate-distance-2-Mellin-cone-second-moment convention=Bogoliubov-GGE-state-pair-higher-moment-canonical L_max=10 audit_sha256=89090d37b361059035576f9caff2a7f5de9939905cc58d904a4dac87e98da106 content_sha256=79ec7f539dcb9c857d6c0ce64158c517e45778ae74539714c61eae9423bad212 schema_version=S87+
# audit_sha256_short=89090d37b3610590 content_sha256_short=79ec7f539dcb9c85 # S88-CORNER-IV-SCHEMATIC-ENVELOPE-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=MARGINAL # S88-CORNER-IV-SCHEMATIC-ENVELOPE-DERIVATION 3-tuple annotation (S87 schema-v2)
S88-FUNCTIONAL-FAMILY-ORTHOGONALITY-NCG-AXIOM-DERIVATION: PASS -- value='axiom_proof_complete' scheme=NCG-axiomatic-derivation-orthogonality convention=axioms-1-4-5-6-Poincare-duality-block-grading-mismatch L_max=N/A audit_sha256=ff505a036d1ad6d7cb6857ace42358a7aacf179490cb224218c12aba4c178ab9 content_sha256=c78d17e499dcd4887f6b6457bf7eea2229e9015bfad15655036aff3c9198e1b7 schema_version=S87+
# audit_sha256_short=ff505a036d1ad6d7 content_sha256_short=c78d17e499dcd488 # S88-FUNCTIONAL-FAMILY-ORTHOGONALITY-NCG-AXIOM-DERIVATION dual-SHA companion row (W9a-99 split)
S88-A_F-CONNES-DISTANCE-CHARACTERIZATION-SCAN: FAIL -- value=1.155401887520e-01 scheme=Connes-distance-16x16-state-pair-grid-A_F-decomposition-characterization convention=cvxpy-Hermitian-True-14-real-DOF-per-pair L_max=NA audit_sha256=f92f307ed5405b11865a0533d803491b58bee2de70a4881f38a0254f730bba85 content_sha256=c96120a34b5393d9d4915c8cdad902e78f7d40e14e8884ce750353bdcd19eb57 schema_version=S87+
# audit_sha256_short=f92f307ed5405b11 content_sha256_short=c96120a34b5393d9 # S88-A_F-CONNES-DISTANCE-CHARACTERIZATION-SCAN dual-SHA companion row (W9a-99 split)
S88-VII-U-2-REGISTRY-WRITE: FAIL -- value='verify_failed:missing STAGE-1-CANDIDATE tag in §VII.U.2 section' scheme=registry-landing-source-double-cite-co-primary convention=vii-u-2-stage-1-candidate-joint-theorem-promotion L_max=N/A audit_sha256=f9defa7f698b493927a8b1318260d4453714777cb550682e845b3055845b42f1 content_sha256=da6c313d1eae4a7c4c1f2dab575cdd8774047ecd3f653b53ac9f8bcada19288c schema_version=S87+
# audit_sha256_short=f9defa7f698b4939 content_sha256_short=da6c313d1eae4a7c # S88-VII-U-2-REGISTRY-WRITE dual-SHA companion row (W9a-99 split)
S88-WAVE-B-CORNER-CELL-ANNOTATION-PASS: PASS -- value='n_slots=7;annotated=7;missing=0;wrong=0;corners=I:U.1+U.6+AF.1,II:W,III:AC.1+AC.4,IV:AJ;verify=all-7-corner-annotations-match-predicted-assignments-per-W5b-46-table' scheme=registry-corner-cell-annotation-consultation-substituted convention=predicted-assignment-table-w5b-46-with-clause-e-consultation L_max=N/A audit_sha256=24b6511183782c586ab70a5fc1513b6caf9098c937953697265754438506633f content_sha256=da6c313d1eae4a7c4c1f2dab575cdd8774047ecd3f653b53ac9f8bcada19288c schema_version=S87+
# audit_sha256_short=24b6511183782c58 content_sha256_short=da6c313d1eae4a7c # S88-WAVE-B-CORNER-CELL-ANNOTATION-PASS dual-SHA companion row (W9a-99 split)
S88-VII-U-2-REGISTRY-WRITE: PASS -- value='slot=§VII.U.2;structure=SOURCE-DOUBLE-CITE-CO-PRIMARY;tag=STAGE-1-CANDIDATE;clauses=a-b-c-d-e-f;joint=c-d;anchors=5;authorship=lizzi-PRIMARY+connes-CO-AUTHOR+mack-WRITER;verify=STAGE-1-CANDIDATE + SOURCE-DOUBLE-CITE-CO-PRIMARY + JOINT(c)(d) + 5-anchor + lizzi/connes/mack attribution + 70 substantive lines (heading-anchored body extraction)' scheme=registry-landing-source-double-cite-co-primary convention=vii-u-2-stage-1-candidate-joint-theorem-promotion L_max=N/A audit_sha256=750079647f9a4cf7aafa1a69e744e113ad527d0f7ab48813ca66127df067c5b3 content_sha256=da6c313d1eae4a7c4c1f2dab575cdd8774047ecd3f653b53ac9f8bcada19288c schema_version=S87+
# audit_sha256_short=750079647f9a4cf7 content_sha256_short=da6c313d1eae4a7c # S88-VII-U-2-REGISTRY-WRITE dual-SHA companion row (W9a-99 split)
S88-WAVE-B-CORNER-CELL-ANNOTATION-PASS: PASS -- value='n_slots=7;annotated=7;missing=0;wrong=0;corners=I:U.1+U.6+AF.1,II:W,III:AC.1+AC.4,IV:AJ;verify=all-7-corner-annotations-match-predicted-assignments-per-W5b-46-table' scheme=registry-corner-cell-annotation-consultation-substituted convention=predicted-assignment-table-w5b-46-with-clause-e-consultation L_max=N/A audit_sha256=5bea1099c43a82cf1617985c17e0288f6697230d4ba52de11ccdfe326fade2ac content_sha256=da6c313d1eae4a7c4c1f2dab575cdd8774047ecd3f653b53ac9f8bcada19288c schema_version=S87+
# audit_sha256_short=5bea1099c43a82cf content_sha256_short=da6c313d1eae4a7c # S88-WAVE-B-CORNER-CELL-ANNOTATION-PASS dual-SHA companion row (W9a-99 split)
S88-JENSEN-DIM-SPECTRUM-FIRST-PRINCIPLES-DERIVATION: INFO -- value="closed_form='slope_A(tau) [Conv-A] = 10 / (1 - tau/(5*pi));   [Conv-B] = 5 / (1 - tau/(5*pi))';fA(0.19)=10.122438748384;fB(0.19)=5.061219374192;anchor_residual_A=5.230238e-05;anchor_residual_B=2.615119e-05;regulator_invariance_residual=0.000e+00;doubling_identity_residual=0.000e+00;PREFACTOR_A=10;PREFACTOR_B=5;CARTAN_PLANCHEREL=5*pi;DIM_SU3=8;RANK_SU3=2" scheme=Sage-symbolic-CM1995-III.4 convention=Conv-A-and-Conv-B-joint L_max=12 audit_sha256=574d81fecb26f7eefef4c2d5b7b2bfe06487fe7e377fa0c9b64d71e573f5e42e content_sha256=612cc1d44dc2d62339922fc84dba7a773bd859d331b9becd46a963f60d140a1b schema_version=S87+
# audit_sha256_short=574d81fecb26f7ee content_sha256_short=612cc1d44dc2d623 # S88-JENSEN-DIM-SPECTRUM-FIRST-PRINCIPLES-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=VALID # S88-JENSEN-DIM-SPECTRUM-FIRST-PRINCIPLES-DERIVATION 3-tuple annotation (S87 schema-v2)
S88-DIM-PLUS-RANK-OVER-2-PREFACTOR-DERIVATION: PASS -- value='(slope_SU2=2,slope_SU3=5,slope_SU4=9,formula_residual=0.000e+00,sage_symbolic_identity_residual=0/0/0,OEIS_A000096_match=True)' scheme=Sage-symbolic-Peter-Weyl convention=Conv-B L_max=SU2:15,SU3:12,SU4:8 audit_sha256=05c4cabb0952bb27ef8466f2d068300866347f1b2d1b6e32b49578c1a9d34593 content_sha256=17a131b59f58b29175c1c95421796a7236160e24b0c833df1b9b651d93afc00a schema_version=S87+
# audit_sha256_short=05c4cabb0952bb27 content_sha256_short=17a131b59f58b291 # S88-DIM-PLUS-RANK-OVER-2-PREFACTOR-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-DIM-PLUS-RANK-OVER-2-PREFACTOR-DERIVATION 3-tuple annotation (S87 schema-v2)
S88-CONV-B-RE-PIN-OF-VII-U-VII-W: PASS -- value='d_spec_8_vii_u_6_post=0;hk_4_sentinel_post=1;d_spec_B_form_post=1;d_spec_B_HK5_closedform=5.061219374;slope_inf_B_S87_W1b3_richardson=5.061193223;residual=2.615e-05;agreement_4sigfigs=5.061;plan_bit_identical_claim_overstated_richardson_truncation_floor' scheme=Conv-B-canonical convention=d_spec-tau-dependent-HK5 L_max=N/A audit_sha256=6d85ea4b8a6f89d69eb98ed726d43626fd45d2db74990b20e30fa66db68a7bec content_sha256=1441f1fcb6aec9c3c738ba041f6306e0a2b78d196be1213efd500838dac3ed59 schema_version=S84+
# audit_sha256_short=6d85ea4b8a6f89d6 content_sha256_short=1441f1fcb6aec9c3 # S88-CONV-B-RE-PIN-OF-VII-U-VII-W dual-SHA companion row (W9a-99 split)
S88-VII-U-VII-W-SCHEMATIC-NUMERICAL-ENVELOPE-AUDIT: PASS -- value='alpha_adopted=4;C_adopted_sage_rational=1/10^8;envelope_at_Lmax10=1.000e-12;Level3_anchor=8.066e-28;Level3_over_Level2=8.066e-16;strict_L3_less_L2_by_16OOM=True;plan_saturation_alt_8066073over10pow30_documented_not_adopted;plan_typo_8066073over10pow31_corrected_in_alt_documentation' scheme=cross-pillar-bridge-Level-2-canonical convention=L-minus-alpha-where-alpha-equals-d_spec-minus-1 L_max=N/A audit_sha256=c44fb8857449c7ae73256e3d129dd8852d6d051ad89a4648d747f759ad083af8 content_sha256=04f5b7bcf45345c5eca615a02c494eb9874ae78d36e3eb8d058a256a91c75d35 schema_version=S84+
# audit_sha256_short=c44fb8857449c7ae content_sha256_short=04f5b7bcf45345c5 # S88-VII-U-VII-W-SCHEMATIC-NUMERICAL-ENVELOPE-AUDIT dual-SHA companion row (W9a-99 split)
S88-VII-U-6-SUBSTRATE-FRAMING-EDIT: PASS -- value='forbidden_post_edit_all_zero=True;required_post_edit_all_geq_1=True;w6b_53_duplication_fixed=True;edit_1_duplication_fix_applied=True;edit_2_substrate_framing_paragraph_appended=True' scheme=substrate-IS-reframe convention=phononic-framing-IS-not-IN L_max=N/A audit_sha256=aae034db2a1df591e9952a0ab7e4a5a9893c406d31f9f570bb1907d436df182b content_sha256=8ba25e3deb0715b08b2ee591576b381f6787bf0cf5a6b4ceb7a381cba854fc2d schema_version=S84+
# audit_sha256_short=aae034db2a1df591 content_sha256_short=8ba25e3deb0715b0 # S88-VII-U-6-SUBSTRATE-FRAMING-EDIT dual-SHA companion row (W9a-99 split)
S88-K1-VS-K2-COUNTING-DISTINCTION-REGISTRY-NOTE: PASS -- value='general_form_present=True;k2_canonical_HW_present=True;k1_rep_theoretic_present=True;SU2_SU3_SU4_table_present=True;sage_verified=True;cross_links_to_W5_W6b53_W6b54_W6b55=True' scheme=Hörmander-Weyl-canonical convention=k2-spectral-asymptotic-vs-k1-rep-theoretic L_max=N/A audit_sha256=d7b57347e82703cda5648181b9dadb999c8cf651775eb46942d9f23741d5b02a content_sha256=291c63b919e8726c636ee83aac11e380722560a964ab92a8de7e8dff48bbf840 schema_version=S84+
# audit_sha256_short=d7b57347e82703cd content_sha256_short=291c63b919e8726c # S88-K1-VS-K2-COUNTING-DISTINCTION-REGISTRY-NOTE dual-SHA companion row (W9a-99 split)
S88-CROSS-AXIS-STAGE-2-VERIFY-CORNER-PINNED: INFO -- value='composite=INFO;joint_pass_and=INFO;a=PASS;b=PASS;e=PASS;f=PASS;c@I_axA=PASS;c@III_axA=INFO;c@I_axB=PASS;c@III_axB=INFO;d@I_axA=PASS;d@III_axA=INFO;d@I_axB=PASS;d@III_axB=INFO;stage_2_promotion_eligible=False;context_isolation_failures=none;cross_corner_smuggle=none;rel_tol=1e-09' scheme=zeta-spectral-action convention=substrate-distance-1-corner-pinned L_max=12 audit_sha256=720dac2e59478b1786902edbd1081f543b94b7688217450a960b3a54e402608c content_sha256=a2ac92ef65bf0918e933a3582c14548efcc3a03cf612331b298325a68fa6dde3 schema_version=S84+
# audit_sha256_short=720dac2e59478b17 content_sha256_short=a2ac92ef65bf0918 # S88-CROSS-AXIS-STAGE-2-VERIFY-CORNER-PINNED dual-SHA companion row (W9a-99 split)
S88-W-9-RULE-3-CALIBRATION-CORPUS-EXTEND: PASS -- value='K_pre=1;K_post=4;K_threshold=3;promotion_event=fired;epistemic_markers=13/13;allowlist_markers=3/3;instance_2_W7-1_audit_sha=38b36fc0a5e5889f;instance_3_W7-3_audit_sha=0eb96f0536fb2d92;instance_4_W9b-2_audit_sha=30815fae79102fb9;sub_clause_status_post=MANDATORY' scheme=METHODOLOGY-class convention=W-9-RULE-3-pole-scope-corpus-extend L_max=N/A audit_sha256=ae56c819b1cc3e038180728f4f7d0d05fd6ce92256dcc0d86a45741d61a37c47 content_sha256=f23f9d0f26c3023cab4b347099ee44c0d459198b01b1cb59ac13652237832d63 schema_version=S84+
# audit_sha256_short=ae56c819b1cc3e03 content_sha256_short=f23f9d0f26c3023c # S88-W-9-RULE-3-CALIBRATION-CORPUS-EXTEND dual-SHA companion row (W9a-99 split)
S88-CROSS-PILLAR-BRIDGE-ANATOMY-ELEMENT-2-OE-FORM-DISCIPLINE: PASS -- value='anatomy_markers=11/11;audit_script_markers=8/8;allowlist_markers=3/3;calibration_K=2;w5_PASS=True;w11_5_FAIL=True;calibration_overall=True;oe_form_status=MANDATORY_for_S88plus_new_entries' scheme=METHODOLOGY-class convention=cross-pillar-bridge-anatomy-Element-2-OE-form L_max=N/A audit_sha256=339b5053a0dcd99c07821ddc815fab4e778340e52851b1580391eb7a81691644 content_sha256=f5735c3e9da09edfa6bed3185c44693e4875470af8058b261539a8bcae13674c schema_version=S84+
# audit_sha256_short=339b5053a0dcd99c content_sha256_short=f5735c3e9da09edf # S88-CROSS-PILLAR-BRIDGE-ANATOMY-ELEMENT-2-OE-FORM-DISCIPLINE dual-SHA companion row (W9a-99 split)
S88-W9B-2-RANK-VS-MAGNITUDE-LAYER-DISCRIMINATOR: FAIL -- value='rho_T1=-0.800000;rho_T2=-1.000000;spread_T1=1.010819;spread_T2=0.894591;spread_ratio=nan;PASS_RANK=0;MAG=FAIL' scheme=cross-regulator-A5-4-class-projection-Spearman convention=substrate-distance-2-pole-s4-PRIMARY-AND-SCHEMATIC L_max=12 audit_sha256=5d7e448b7da710deb1408fbd8dd621007ff976cedc9f0fdf2a4f42c52d075378 content_sha256=693d14178c108ae0b32c738bdd3cc5394d6542c3d0507fe3d11a32fe6fb94767 schema_version=S84+
# audit_sha256_short=5d7e448b7da710de content_sha256_short=693d14178c108ae0 # S88-W9B-2-RANK-VS-MAGNITUDE-LAYER-DISCRIMINATOR dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-W9B-2-RANK-VS-MAGNITUDE-LAYER-DISCRIMINATOR 3-tuple annotation (S87 schema-v2)
S88-W5-2-W5-3-PROJECTOR-AT-ELEMENT-2-LAYER: INFO -- value='sidecar_oe_pass=1;lancaster_pos_match=1;lancaster_neg_match=0;musr_pos_match=1;musr_neg_match=0;cross_validation=1;inventory_landing=DEFERRED_to_mack_wave5;plan_block_sha=f02feb733f1a7263' scheme=METHODOLOGY-class-cross-pillar-bridge-anatomy-Element-2-OE-form convention=projector-Pi_vortex_B-phase_AND_Pi_musr_A-phase L_max=N/A audit_sha256=cc2895acb65ea01683458ec1188eb17a6af6b2583b6cbf57c949a8123142b8c6 content_sha256=714ed75c3ee903e8068b6d4c43f1ad48d724f5b1195a46814e30775b058e5821 schema_version=S84+
# audit_sha256_short=cc2895acb65ea016 content_sha256_short=714ed75c3ee903e8 # S88-W5-2-W5-3-PROJECTOR-AT-ELEMENT-2-LAYER dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=VALID # S88-W5-2-W5-3-PROJECTOR-AT-ELEMENT-2-LAYER 3-tuple annotation (S87 schema-v2)
S88-VII-AJ-TWO-ROW-LANDING: FAIL -- value='PRE-REG-INC_blocked_by_W7a-74_FAIL-RANK_FAIL-MAGNITUDE;VII_AJ_1_landing=BLOCKED;VII_AJ_2_landing=BLOCKED;upstream_audit_sha=5d7e448b7da710de' scheme=METHODOLOGY-class-registry-landing convention=TWO-ROW-rank-magnitude-epistemic-split-corner-I-pole-s4 L_max=N/A audit_sha256=4025d90c563101b0ad920bf5651c403caec66ba1593dee31870d1866020ece50 content_sha256=01b00ce4fe12d9fb63149e3ab0c98d447378d3c76b001cf5c236f224db096dd8 schema_version=S84+
# audit_sha256_short=4025d90c563101b0 content_sha256_short=01b00ce4fe12d9fb # S88-VII-AJ-TWO-ROW-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-VII-AJ-TWO-ROW-LANDING 3-tuple annotation (S87 schema-v2)
# # PRE-REG-INC per session-88-plan-w7a.md §372 FAIL clause; deferred to S89; required prereqs: [W7a-74 PASS-RANK_AND_PASS_OR_INFO_MAGNITUDE]; closure_script=computations/session-88/s88_w7a_76_77_pre_reg_inc_closure.py
S88-OR-LATER-VII-AJ-INDEPENDENT-VERIFY: FAIL -- value='PRE-REG-INC_blocked_by_W7a-76_FAIL_AND_W7a-74_FAIL-RANK;Stage-2_cross-axis_verify=BLOCKED_no_VII_AJ_1_landing_to_verify;upstream_W7a-76_audit_sha=4025d90c563101b0;upstream_W7a-74_audit_sha=5d7e448b7da710de' scheme=Stage-2-cross-axis-independent-verify convention=corner-I-pinned-VII-AJ-1-rank-order-only L_max=N/A audit_sha256=352350fe0a05b58d192de817dd307469c8ec7f71f79b4ee3d29149e2e2a1ffd1 content_sha256=01b00ce4fe12d9fb63149e3ab0c98d447378d3c76b001cf5c236f224db096dd8 schema_version=S84+
# audit_sha256_short=352350fe0a05b58d content_sha256_short=01b00ce4fe12d9fb # S88-OR-LATER-VII-AJ-INDEPENDENT-VERIFY dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-OR-LATER-VII-AJ-INDEPENDENT-VERIFY 3-tuple annotation (S87 schema-v2)
# # PRE-REG-INC per session-88-plan-w7a.md §401 CONDITIONAL on (#76+#74) PASS; deferred to S89; required prereqs: [W7a-76 PASS, W7a-74 PASS-RANK]; closure_script=computations/session-88/s88_w7a_76_77_pre_reg_inc_closure.py
S88-OR-LATER-CROSS-PILLAR-BRIDGE-ANATOMY-PARTNER-PILLAR-AXIS-DERIVATION: FAIL -- value='Pillar_IV_PASS=1;Pillar_V_PASS=0;Pillar_II_REGEX_GAP=1;n_pass=1_of_3;co_author_dispatch_deferred=True;deferral_reason=W7a-77_FAIL_chain' scheme=substrate-first-canonical-sourcing-PRIMARY convention=partner-pillar-specific-Element-2-OE-form-derivation L_max=10-AND-12 audit_sha256=8030093092589a763be919bc66fffd11aed4d13335b4ded5a2b4352dd7bb372f content_sha256=bd0869d2605593b9e5336336fa3eb0022e496747bdf09dae402608fec5c834b4 schema_version=S84+
# audit_sha256_short=8030093092589a76 content_sha256_short=bd0869d2605593b9 # S88-OR-LATER-CROSS-PILLAR-BRIDGE-ANATOMY-PARTNER-PILLAR-AXIS-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-OR-LATER-CROSS-PILLAR-BRIDGE-ANATOMY-PARTNER-PILLAR-AXIS-DERIVATION 3-tuple annotation (S87 schema-v2)
S88-W7-LF-D-CHEEGER-SIMONS-ODD-GRADING-PROXY: PASS -- value='CS_rel_sep=inf;GV_rel_sep=inf;eta_CS_rel_sep=inf;eta_diff=0.00e+00;GV_diff=-4.0579150048e+04;GV_anchor_dev=0.00e+00' scheme=APS-1975-secondary-class convention=cheeger_simons_odd_grading_proxy_canonical_aps1975 L_max=10 audit_sha256=ade127804bdd20b7e1dd1638a52b9985c680acf60adacf6867cb5bcd801a1905 content_sha256=1b931c1c6e1fa19f793b1563ed66af1d9f68731a6d84e2de8a5bedeaaa67063b schema_version=S84+
# audit_sha256_short=ade127804bdd20b7 content_sha256_short=1b931c1c6e1fa19f # S88-W7-LF-D-CHEEGER-SIMONS-ODD-GRADING-PROXY dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-W7-LF-D-CHEEGER-SIMONS-ODD-GRADING-PROXY 3-tuple annotation (S87 schema-v2)
S88-W7-LF-C-PRIMARY-B-SELF-CONSISTENT-PV-LIFT: PASS -- value='0.0' scheme=S78-backreaction-self-consistent convention=primary_b_pv_self_consistent_state_pair_running_mass L_max=10 audit_sha256=8b8e4541de78d9efe1c01f6451f829a8a7458e4a53b36b351d1b65aa3218102d content_sha256=b30593029fd026ff89ad3a1caedd03d8c62234b56cc8a9d3a0665f7cc28dc92f schema_version=S84+
# audit_sha256_short=8b8e4541de78d9ef content_sha256_short=b30593029fd026ff # S88-W7-LF-C-PRIMARY-B-SELF-CONSISTENT-PV-LIFT dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-W7-LF-C-PRIMARY-B-SELF-CONSISTENT-PV-LIFT 3-tuple annotation (S87 schema-v2)
S88-W7-LF-B-SAGE-SYMBOLIC-POSITIVITY-ROBUSTNESS: FAIL -- value='H1=all_pos;H2_pattern_holds=False;primary_a_exact_zero=True;primary_b_asymp_floor_satisfied=True;rel_asymp_max=nan;reason='delta_c=0_under_W5_spec_Delta_PV_identically_zero_all_regulators'' scheme=A_5_extended-atlas-symbolic convention=primary_ab_atlas_robust_positivity_delta_pv_pattern L_max=10 audit_sha256=1f394c789d169bfc0d3d97ba0b1c5c6d65528bc623fe35d4ee478bd213134ba8 content_sha256=e46d3460879cf26094a1b56f1b9a08e01128986a7d2352f2ecbdea60e30447a0 schema_version=S84+
# audit_sha256_short=1f394c789d169bfc content_sha256_short=e46d3460879cf260 # S88-W7-LF-B-SAGE-SYMBOLIC-POSITIVITY-ROBUSTNESS dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=INFO regime_verdict=VALID # S88-W7-LF-B-SAGE-SYMBOLIC-POSITIVITY-ROBUSTNESS 3-tuple annotation (S87 schema-v2)
S88-W7-LF-E-SCHEMATIC-MODULE-AUDIT: PASS -- value='K=4;K_promotion=3;K>=K_promotion=True;witnesses_audited=3/3;positive_disclosure=1/3;negative_disclosure=2/3;first_witness=W4-2_S86_post_hoc;promotion=SUGGESTION_to_MANDATORY' scheme=audit-mode convention=schematic_module_audit_3_witness_corpus_k4_promotion L_max=N/A audit_sha256=d825b8301aa929c2db2db589d6590ee7111122152c1b6345ecfe77221d29e175 content_sha256=fece36a7a3217f89a79dc202f89c10c597fa8f81d525f5e2c7afac7641069ee9 schema_version=S84+
# audit_sha256_short=d825b8301aa929c2 content_sha256_short=fece36a7a3217f89 # S88-W7-LF-E-SCHEMATIC-MODULE-AUDIT dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-W7-LF-E-SCHEMATIC-MODULE-AUDIT 3-tuple annotation (S87 schema-v2)
S88-W7-LF-D-CHEEGER-SIMONS-ODD-GRADING-PROXY: PASS -- value='CS_rel_sep=0.000e+00;GV_rel_sep=1.000e+00;eta_CS_rel_sep=0.000e+00;eta_diff=0.00e+00;GV_diff=-4.0579150048e+04;GV_anchor_dev=0.00e+00' scheme=APS-1975-secondary-class convention=cheeger_simons_odd_grading_proxy_canonical_aps1975 L_max=10 audit_sha256=6b5bdb7f7ae02634b05fb8cb9ed4825cf0478aed1ba65428df07fa86b91c0a24 content_sha256=6c38cf2120225df8020d1a251cd17e6f3ea12763aa00d60964c2f20ec1641533 schema_version=S84+
# audit_sha256_short=6b5bdb7f7ae02634 content_sha256_short=6c38cf2120225df8 # S88-W7-LF-D-CHEEGER-SIMONS-ODD-GRADING-PROXY dual-SHA companion row (W9a-99 split)
